Reservoir,Site,Date,Beaver level,Obs_waterlevel_from_full_pond_ft,WaterLevel_m,Source,Comments,
BVR,50,2/21/2020,7.6'' Low,,,WVWA,,
BVR,50,2/28/2020,7.8'' Low,,,WVWA,,
BVR,50,3/5/2020,7.3'' Low,,,WVWA,Adjusted position of center weir box as there was no flow in it apon arrival.,
BVR,50,3/9/2020,7.4'' Low,,,WVWA,,
BVR,50,3/17/2020,7.0'' Low,,,WVWA,,
BVR,50,3/24/2020,"7.4"" Low",,,WVWA,,
BVR,50,4/2/2020,"6.6"" Low",,,WVWA,,
BVR,50,4/8/2020,"6.8""low",,,WVWA,,
BVR,50,4/16/2020,"5.6"" Low",,,WVWA,,
BVR,50,4/21/2020,"5.8"" Low",,,WVWA,,
BVR,50,4/28/2020,"5.7""Low",,,WVWA,,
BVR,50,5/7/2020,"5.6""Low",,,WVWA,,
BVR,50,5/14/2020,"5.8"" Low",,,WVWA,,
BVR,50,5/22/2020,"3.8"" Low",,,WVWA,,
BVR,50,5/26/2020,"3.6"" Low",,,WVWA,,
BVR,50,6/4/2020,3.5 Low,,,WVWA,,
BVR,50,6/22/2020,"2.4"" Low",,,WVWA,,
BVR,50,7/1/2020,"3.1"" Low",,,WVWA,,
BVR,50,8/5/2020,"5.8"" Low",,,WVWA,,
BVR,50,8/13/2020,"6.1"" Low",,,WVWA,,
BVR,50,8/21/2020,"6.3"" Low",,,WVWA,,
BVR,50,9/18/2020,"6.6"" Low",,,WVWA,,
BVR,50,9/30/2020,"6.5"" Low",,,WVWA,,
BVR,50,10/9/2020,"6.5"" Low",,,WVWA,,
BVR,50,10/16/2020,"6.6"" Low",,,WVWA,,
BVR,50,10/23/2020,"6.8"" Low",,,WVWA,,
BVR,50,10/30/2020,"6.3"" Low",,,WVWA,,
BVR,50,11/6/2020,"6.3"" Low",,,WVWA,,
BVR,50,11/13/2020,"5.2"" Low",,,WVWA,,
BVR,50,11/20/2020,"5.7"" Low",,,WVWA,,
BVR,50,11/25/2020,"6.0"" Low",,,WVWA,,
BVR,50,12/3/2020,6.2'' Low,,,WVWA,,
BVR,50,12/10/2020,"5.9"" Low",,,WVWA,,
BVR,50,12/15/2020,"5.8"" Low",,,WVWA,,
BVR,50,12/23/2020,"6.0"" Low",,,WVWA,,
BVR,50,12/29/2020,6.0'' Low,,,WVWA,,
BVR,50,1/7/2021,"6.0"" Low",,,WVWA,,
BVR,50,1/14/2021,"6.0"" Low",,,WVWA,,
BVR,50,1/22/2021,"6.0"" Low",,,WVWA,,
BVR,50,1/29/2021,"6.0"" Low",,,WVWA,,
BVR,50,2/5/2021,"6.0"" Low",,,WVWA,,
BVR,50,2/12/2021,,,,WVWA,Ice/Road Impassable,
BVR,50,2/16/2021,"5.8"" Low",,,WVWA,,
BVR,50,2/23/2021,"5.8"" Low",,,WVWA,,
BVR,50,3/5/2021,"5.8"" Low",,,WVWA,,
BVR,50,3/10/2021,"5.9"" Low",,,WVWA,,
BVR,50,3/16/2021,"6.0"" Low",,,WVWA,,
BVR,50,3/23/2021,"5.8"" Low",,,WVWA,,
BVR,50,3/29/2021,"5.8"" Low",,,WVWA,,
BVR,50,4/8/2021,"6.0"" Low",,,WVWA,,
BVR,50,4/16/2021,"6.2"" Low",,,WVWA,,
BVR,50,4/23/2021,"6.0"" Low",,,WVWA,,
BVR,50,4/28/2021,"6.0"" Low",,,WVWA,,
BVR,50,5/5/2021,"6.0"" Low",,,WVWA,,
BVR,50,5/11/2021,"6.2"" Low",,,WVWA,,
BVR,50,5/19/2021,"6.3"" Low",,,WVWA,,
BVR,50,5/27/2021,"6.3"" Low",,,WVWA,,
BVR,50,6/3/2021,"6.3"" Low",,,WVWA,,
BVR,50,6/11/2021,"6.4"" Low",,,WVWA,,
BVR,50,6/18/2021,"6.4"" Low",,,WVWA,,
BVR,50,6/25/2021,6.4'Low,,,WVWA,,
BVR,50,6/30/2021,6.4' Low,,,WVWA,,
BVR,50,7/7/2021,6.6' Low,,,WVWA,,
BVR,50,7/15/2021,6.8' Low,,,WVWA,,
BVR,50,7/21/2021,6.8' Low,,,WVWA,,
BVR,50,7/29/2021,7.0' Low,,,WVWA,,
BVR,50,8/6/2021,7.4' Low,,,WVWA,,
BVR,50,8/10/2021,7.4' Low,,,WVWA,,
BVR,50,8/20/2021,"6.9"" Low",,,WVWA,Cleaned out outlets to allow for better flow.,
BVR,50,8/27/2021,7.2' Low,,,WVWA,,
BVR,50,9/5/2021,7.6' Low,,,WVWA,,
BVR,50,9/17/2021,8.2' Low,,,WVWA,,
BVR,50,9/24/2021,7.2' Low,,,WVWA,,
BVR,50,10/1/2021,7.2' Low,,,WVWA,,
BVR,50,10/6/2021,7.3' Low,,,WVWA,,
BVR,50,10/15/2021,7.8' Low,,,WVWA,,
BVR,50,10/22/2021,7.8' Low,,,WVWA,,
BVR,50,10/26/2021,8.4' Low,,,WVWA,,
BVR,50,11/8/2021,8.6' Low,,,WVWA,,
BVR,50,11/11/2021,8.6' Low,,,WVWA,,
BVR,50,11/19/2021,8.6' Low,,,WVWA,,
BVR,50,12/3/2021,9.5' Low,,,WVWA,,
BVR,50,12/10/2021,9.6' Low,,,WVWA,,
BVR,50,12/16/2021,10' Low,,,WVWA,,
BVR,50,12/23/2021,10.2' Low,,,WVWA,,
BVR,50,12/30/2021,10.2' Low,,,WVWA,Collected Sample with a new bucket,
BVR,50,1/6/2022,10.2' Low,,,WVWA,,
BVR,50,1/26/2022,10.4' Low,,,WVWA,,
BVR,50,2/2/2022,10.4' Low,,,WVWA,,
BVR,50,2/11/2022,9.8' Low,,,WVWA,,
BVR,50,2/16/2022,10.0' Low,,,WVWA,,
